 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"355690 VISTA ALEGRE DO ALTO";35957,02
"355695 VITORIA BRASIL";12003,15
"355700 VOTORANTIM";21486,65
"355710 VOTUPORANGA";23909,36
"355715 ZACARIAS";25451,28
"355720 CHAVANTES";16961,94
"355730 ESTIVA GERBI";19479,56
"Total";39122,26
 Fonte: IBGE, em parceria com os Órgăos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendęncia da Zona Franca
 de Manaus - SUFRAMA.
 Notas:
 
 Valores do PIB per capita estăo em reais correntes. Os demais valores estăo em milhares de reais correntes.
 Os valores do PIB per capita podem divergir do publicado em outras fontes, caso haja diferença
 nos valores estimados da populaçăo.
 Série histórica construída com a referęncia 2010.
 Para mais detalhes sobre a metodologia de cálculo, consulte o sítio do IBGE.
 
